分支,完整HEAD,最近提交日期,是否为四窗口组合祖先,相对共同基点修改的代码文件数,与四窗口组合内容不同的代码文件数,解释口径
codex/admin-experience-polish-20260903,27f782e29455b401055547af0aa5e6631360bc5f,2026-09-03,是,0,0,当前组合祖先
codex/admin-release-candidate-20260903,9a71f031d9f680725e8a5cc2eea9556c7e509aca,2026-09-04,否,16,16,机械差异，待业务核对
codex/admin-unified-20260903,2edaa342d4837161a46210a214d58811bee3ee92,2026-09-02,是,0,0,当前组合祖先
codex/ai-answer-experience-20260922,738c519e1a37db403c0f4e3c5e6e502d8869c6d9,2026-09-22,是,0,0,当前组合祖先
codex/ai-answer-experience-v2-20260922,ca1df63da86650473bb3b8b80f9839b78652cfed,2026-09-22,是,0,0,当前组合祖先
codex/ai-chat-input-scope-20260919,10086aa78393b61c0eb10339e4199f495f0edbdf,2026-09-19,否,7,4,机械差异，待业务核对
codex/ai-decision-ops-closure-20260902,faecd631505bdea775b1d2f6759de978c919afbe,2026-09-02,否,22,4,机械差异，待业务核对
codex/ai-guide-intent-20260922,eb88e8a41b0727d94b3410114f4bd64558cf6162,2026-09-23,是,0,0,当前组合祖先
codex/ai-quota-reliability-20260922,7fce2dbc752499c48c03e52ee62745df424326d9,2026-09-22,否,14,14,机械差异，待业务核对
codex/ai-reading-cards-20260922,d9f3980d52ac9974f144d5d1157a7e47400eeff5,2026-09-22,否,14,14,机械差异，待业务核对
codex/android-alipay-ready-20260919,d65e39f493defb086bd7dd6a934992adad2dbed3,2026-09-19,是,0,0,当前组合祖先
codex/android-v238-runtime-audit-20260902,782c09c7af9a00e3258426b8d467d153704ac339,2026-09-02,是,0,0,当前组合祖先
codex/app-release-snapshot-20260908,c110ddb77e7a3e30d5a37e37ed0c4a6456b36cba,2026-09-08,否,517,517,机械差异，待业务核对
codex/bot-history-owner-20260926,7db928ad0a6f2496cc7a49368810174772b4acf0,2026-09-26,是,0,0,当前组合祖先
codex/bot-quota-ledger-20260926,1bd1ad30808461caa13546bbf2e9f11feac10eaa,2026-09-26,是,0,0,当前组合祖先
codex/circle-a11y-gate-20260926,f5ec591ba3707748d134aeda12dc97909de1d0b8,2026-09-26,是,0,0,当前组合祖先
codex/circle-fulfillment-manual-resolution-review-20260920,c71abd06af2d94fa07568e4f9bc3b02e91518d87,2026-09-20,否,25,25,机械差异，待业务核对
codex/circle-fulfillment-receive-20260919,6fbadf16db0130657858d2507b74811288e2d980,2026-09-19,否,24,24,机械差异，待业务核对
codex/circle-fulfillment-review-20260920,0be06b1161953b53065ba8afc0772a7a78ea2214,2026-09-20,否,24,24,机械差异，待业务核对
codex/circle-knowledge-universe-3d-20260923,a358ac98dfc0e3dce76f9b436d9a402a1016415a,2026-09-26,否,2,2,机械差异，待业务核对
codex/classics-quality-hotfix-20260908,b5403aeba6df9107ae678cf9145c63e82d6138e8,2026-09-08,否,6,4,机械差异，待业务核对
codex/entitlement-audit-20260918,87765912afc26df10064cbcf5f92a4129f49b1e1,2026-09-18,否,50,48,机械差异，待业务核对
codex/feedback-admin-c-20260918,b0c91eafb8ea98cbdb8cd2111eedeb344a5499cf,2026-09-18,否,7,5,机械差异，待业务核对
codex/four-window-ai-failure-release-20260926,122b2faa2adc39dace9bcb274dc8a0518ad7b014,2026-09-26,否,4,4,机械差异，待业务核对
codex/four-window-ai-quota-review-20260926,c5fa5d14e2e75a96d0e47d51c90f20eb1f2692f0,2026-09-26,是,0,0,当前组合祖先
codex/four-window-circle-pay-return-20260926,c5815a9c13c3daf9fa5cdb1cd58aba5c3742ad5e,2026-09-26,是,0,0,当前组合祖先
codex/four-window-integration-20260923,dd3128510290ca9c0cf6076b49ad695d4a42018a,2026-09-26,否,3,3,机械差异，待业务核对
codex/four-window-migration-order-20260926,83d97cdc5796526889a0f2b6b4732cbfe9f261e8,2026-09-26,是,0,0,当前组合祖先
