结果页,工作台报告按钮标志,AI报告标志,证据口径
pkg-paipan/bazi/result.vue,是,是,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/chuanren/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/couple/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/daliuren/result.vue,否,是,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/feigong/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/hepan/result.vue,是,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/jinkoujue/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/lijichi/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/meihua/result.vue,否,是,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/qimen/result.vue,否,是,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/qizheng/result.vue,是,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/shanxiang/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/taiyi/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/xiaochengtu/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/xuankong/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/yangpan/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/yinpan/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/yinpan-mingli/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan/ziwei/result.vue,是,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan2/liuyao/result.vue,否,是,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan2/qiming/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan2/xingming/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan2/zhuge/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
pkg-paipan3/bazhai/result.vue,否,否,结果页可执行标志初筛；入口可用性、生成质量、权益仍待验证
